CODE1,CODE2,LAT,LON,A,B,C,SCHOOL,DISTRICT
LAS101,T000011,34.0388,-118.1680,1,1,366552,LAUSD_Perez_Sp_Ed_Ctr,LAUSD
LAS102,T000012,34.0389,-118.1715,1,1,366123,LAUSD_Solis_Learning_Academy,LAUSD
LAS103,T000014,34.0340,-118.1911,1,1,366265,LAUSD_Ramona_HS,LAUSD
LAS104,T000015,34.0762,-118.2322,2,2,366305,LAUSD_Solano,LAUSD
LAS105,T000016,34.0641,-118.2397,3,3,366081,LAUSD_Castelar,LAUSD
LAS106,T000017,34.0630,-118.2504,1,1,254667,LAUSD_Downtown_Magnet,LAUSD
LAS107,T000018,34.0579,-118.2617,1,1,366382,LAUSD_Contreras,LAUSD
LAS108,T000019,34.0546,-118.2694,1,1,366085,LAUSD_Liechty_Middle,LAUSD
LAS109,T000020,34.0232,-118.2512,1,1,366227,LAUSD_20th_St,LAUSD
LAS110,T000021,34.0125,-118.2466,1,1,366178,LAUSD_Nevin,LAUSD
LAS111,T000022,34.0153,-118.2488,1,1,367114,LAUSD_Nava_LA,LAUSD
LAS112,T000023,34.0290,-118.2628,1,1,366207,LAUSD_Santee,LAUSD
LAS113,T000024,34.0194,-118.2607,1,1,367169,LAUSD_28th_St,LAUSD
LAS114,T000025,34.0192,-118.2685,1,1,366119,LAUSD_Huerta,LAUSD
LAS115,T000026,34.0141,-118.2599,1,1,366232,LAUSD_Jones,LAUSD
LAS116,T000029,34.0155,-118.2707,1,1,366186,LAUSD_Maple_PC,LAUSD
LAS117,T000030,34.0121,-118.2693,1,1,254638,LAUSD_Trinity,LAUSD
LAS118,T000031,34.0397,-118.1816,1,1,252346,LAUSD_Belvedere_Middle,LAUSD
LAS119,T000032,34.0105,-118.2677,1,1,366282,LAUSD_Lizarraga,LAUSD
LAS120,T000033,34.0096,-118.2586,1,1,367167,LAUSD_Wadsworth,LAUSD
LAS121,T000034,34.0095,-118.2509,1,1,366190,LAUSD_Jefferson_HS,LAUSD
LAS122,T000035,34.0068,-118.2600,1,1,366247,LAUSD_Harmony,LAUSD
LAS123,T000037,34.0031,-118.2621,1,1,366059,LAUSD_Carver_MS,LAUSD
LAS124,T000038,34.0032,-118.2487,1,1,366155,LAUSD_Ascot,LAUSD
LAS125,T000039,34.0023,-118.2568,1,1,366288,LAUSD_Ride_(#21),LAUSD
LAS126,T000040,33.9985,-118.2618,1,1,254706,LAUSD_49th_St,LAUSD
LAS127,T000041,33.9948,-118.2575,1,1,366153,LAUSD_Aurora,LAUSD
LAS128,T000042,33.9957,-118.2536,1,1,366395,LAUSD_Hooper,LAUSD
LAS129,T000043,33.9946,-118.2731,1,1,366168,LAUSD_Main_St,LAUSD
LAS130,T000044,33.9940,-118.2680,1,1,366380,LAUSD_Angelou,LAUSD
LAS131,T000046,33.9905,-118.2734,1,1,366205,LAUSD_Estrella,LAUSD
LAS132,T000048,33.9907,-118.2642,1,1,366338,LAUSD_Los_Angeles_Academy_MS,LAUSD
LAS133,T000049,34.0282,-118.2571,1,1,366407,LAUSD_San_Pedro,LAUSD
LAS134,T000050,34.0480,-118.2706,1,1,366060,LAUSD_Olympic_PC,LAUSD
LAS135,T000053,34.0483,-118.2732,1,1,366184,LAUSD_10th_St,LAUSD
LAS136,T000055,34.0343,-118.2655,6,6,366381,LAUSD_Central_Adult_AEWC,LAUSD
LAS137,T000056,34.0048,-118.2801,1,1,366270,LAUSD_West_Vernon,LAUSD
LAS138,T000058,34.0077,-118.2897,1,1,366073,LAUSD_Menlo,LAUSD
LAS139,T000061,34.0088,-118.2922,1,1,366348,LAUSD_Manual_Arts_HS,LAUSD
LAS140,T000064,34.0032,-118.2885,1,1,366335,LAUSD_LaMotte_(#10),LAUSD
LAS141,T000066,34.0010,-118.2922,1,1,366274,LAUSD_Jones_PC,LAUSD
LAS142,T000072,34.0029,-118.2990,1,1,366376,LAUSD_Normandie,LAUSD
LAS143,T000073,33.9962,-118.2881,1,1,366134,LAUSD_52nd_St,LAUSD
LAS144,T000074,34.0663,-118.2560,1,1,254766,LAUSD_Plasencia,LAUSD
LAS145,T000075,34.0723,-118.2699,1,1,366174,LAUSD_Rosemont,LAUSD
LAS146,T000076,34.0681,-118.2710,1,1,366160,LAUSD_Lake_St_PC,LAUSD
LAS147,T000077,34.0617,-118.2645,1,1,367123,LAUSD_Belmont_HS,LAUSD
LAS148,T000080,34.0337,-118.2348,1,1,366179,LAUSD_Metropolitan_HS,LAUSD
LAS149,T000081,34.0244,-118.1859,1,1,366312,LAUSD_Amanacer_PC,LAUSD
LAS150,T000084,34.0245,-118.2182,1,1,366053,LAUSD_Garza_PC,LAUSD
LAS151,T000085,34.0998,-118.3133,1,1,367121,LAUSD_Grant,LAUSD
LAS152,T000086,34.0963,-118.3148,1,1,366422,LAUSD_Bernstein_HS,LAUSD
LAS153,T000089,34.1058,-118.3207,1,1,366164,LAUSD_Cheremoya,LAUSD
LAS154,T000090,34.1005,-118.3344,1,1,366201,LAUSD_Selma,LAUSD
LAS155,T000091,34.0992,-118.3401,1,1,366245,LAUSD_Hollywood_HS,LAUSD
LAS156,T000094,34.0948,-118.3168,1,1,366321,LAUSD_Le_Conte_MS,LAUSD
LAS157,T000095,34.0913,-118.3193,1,1,252720,LAUSD_Hollywood_PC,LAUSD
LAS158,T000097,34.0882,-118.3270,1,1,366387,LAUSD_Vine,LAUSD
LAS159,T000099,34.0888,-118.3375,1,1,367111,LAUSD_Las_Palmas,LAUSD
LAS160,T000102,34.0918,-118.2997,1,1,366256,LAUSD_Ramona,LAUSD
LAS161,T000105,34.0917,-118.3029,1,1,366197,LAUSD_Kingsley,LAUSD
LAS162,T000107,34.0928,-118.2880,1,1,367163,LAUSD_Lexington_PC,LAUSD
LAS163,T000111,34.0707,-118.2859,1,1,366228,LAUSD_Commonwealth,LAUSD
LAS164,T000112,34.0737,-118.2916,1,1,366279,LAUSD_Virgil_MS,LAUSD
LAS001,T000280,34.0537,-118.1889,1,1,366482,LAUSD_Harrison,LAUSD
LAS002,T000281,34.0682,-118.1935,1,1,366523,LAUSD_Multnomah,LAUSD
LAS003,T000282,34.1192,-118.1724,1,1,366528,LAUSD_San_Pascual,LAUSD
LAS004,T000284,34.0466,-118.1818,1,1,366895,LAUSD_Anton,LAUSD
LAS005,T000290,34.0296,-118.2103,2,2,366833,LAUSD_Sunrise,LAUSD
LAS006,T000293,34.0573,-118.1713,1,1,366423,LAUSD_City_Terrace,LAUSD
LAS007,T000315,34.1045,-118.2366,1,1,366583,LAUSD_Glassell,LAUSD
LAS008,T000316,34.1226,-118.2679,1,1,366332,LAUSD_Glenfeliz,LAUSD
LAS009,T000317,34.1048,-118.2160,1,1,366672,LAUSD_Mount_Washington,LAUSD
LAS010,T000318,34.1158,-118.2411,1,1,366645,LAUSD_Irving,LAUSD
LAS011,T000321,34.1211,-118.1849,1,1,367051,LAUSD_Meridian_EEC,LAUSD
LAS012,T000322,34.0867,-118.2164,1,1,366494,LAUSD_Loreto,LAUSD
LAS013,T000323,34.1108,-118.1975,1,1,366912,LAUSD_Monte_Vista,LAUSD
LAS014,T000324,34.1187,-118.1824,1,1,366474,LAUSD_Garvanza,LAUSD
LAS015,T000325,34.1026,-118.1893,1,1,366451,LAUSD_Bushnell,LAUSD
LAS016,T000326,34.1177,-118.2401,1,1,366472,LAUSD_Fletcher_Drive,LAUSD
LAS017,T000327,34.1023,-118.2374,1,1,366746,LAUSD_Sandra_Sotomayor,LAUSD
LAS020,T000330,34.1112,-118.1969,1,1,366662,LAUSD_Richard_Riordan,LAUSD
LAS021,T000335,34.1214,-118.2177,1,1,366610,LAUSD_Toland,LAUSD
LAS022,T000374,34.1332,-118.1945,1,1,367049,LAUSD_Rockdale,LAUSD
LAS023,T000376,34.1212,-118.1941,1,1,366684,LAUSD_Yorkdale,LAUSD
LAS024,T000378,34.1361,-118.2132,1,1,366479,LAUSD_Eagle_Rock_EL,LAUSD
LAS025,T000379,34.0913,-118.2386,1,1,366667,LAUSD_Dorris_Place,LAUSD
LAS027,T000381,34.1388,-118.1993,1,1,366918,LAUSD_Dahlia_Heights,LAUSD
LAS028,T000382,34.1198,-118.1833,1,1,366543,LAUSD_Burbank,LAUSD
LAS029,T000383,34.1191,-118.2065,1,1,366547,LAUSD_Buchanan,LAUSD
LAS030,T000384,34.1157,-118.2549,1,1,366351,LAUSD_Atwater,LAUSD
LAS031,T000385,34.1019,-118.2032,1,1,366572,LAUSD_Arroyo_Seco,LAUSD
LAS032,T000386,34.0949,-118.2255,1,1,366658,LAUSD_Aragon,LAUSD
LAS033,T000387,34.1286,-118.1867,1,1,366594,LAUSD_Annandale,LAUSD
LAS034,T000388,34.1097,-118.2060,1,1,366137,LAUSD_Aldama,LAUSD
LAS035,T000389,34.1019,-118.2519,1,1,366733,LAUSD_Allesandro,LAUSD
LAS036,T000420,34.0695,-118.1966,1,1,366771,LAUSD_East_LA_Skills,LAUSD
LAS037,T000520,34.0354,-118.1863,2,2,366900,LAUSD_Belvedere_Elem,LAUSD
LAS038,T000546,34.1059,-118.2849,2,2,366578,LAUSD_Franklin_Elem,LAUSD
LAS039,T000547,34.1080,-118.2775,2,2,366530,LAUSD_Marshall_SH,LAUSD
LAS040,T000548,34.0901,-118.1770,1,1,366549,LAUSD_El_Sereno,LAUSD
LAS041,T000549,34.0849,-118.2124,1,1,366556,LAUSD_Hillside,LAUSD
LAS042,T000550,34.0824,-118.1691,2,2,366655,LAUSD_Sierra_Park,LAUSD
LAS043,T000557,34.0970,-118.2809,1,1,366875,LAUSD_King_Middle,LAUSD
LAS044,T000558,34.0289,-118.1709,2,2,366591,LAUSD_Humphreys,LAUSD
LAS045,T000559,34.0820,-118.2880,1,1,366049,LAUSD_Dayton_Heights,LAUSD
LAS046,T000560,34.0892,-118.2879,2,2,366613,LAUSD_Lockwood,LAUSD
LAS048,T000568,34.0841,-118.2653,1,1,367164,LAUSD_Mayberry,LAUSD
LAS049,T000569,34.0890,-118.2582,2,2,366445,LAUSD_Clifford,LAUSD
LAS050,T000570,34.0397,-118.1521,1,1,366293,LAUSD_Lane_Elem,LAUSD
LAS051,T000571,34.0221,-118.2109,1,1,366804,LAUSD_Dena,LAUSD
LAS052,T000572,34.0288,-118.1532,2,2,366807,LAUSD_4th_Street,LAUSD
LAS054,T000574,34.0204,-118.1714,2,2,366986,LAUSD_Ford_Elem,LAUSD
LAS055,T000575,34.0448,-118.2171,2,2,366883,LAUSD_2nd_Street,LAUSD
LAS056,T000576,34.0890,-118.2756,-1,-1,366826,LAUSD_Micheltorena,LAUSD
LAS057,T000577,34.0645,-118.2306,2,2,366793,LAUSD_Ann,LAUSD
LAS058,T000578,34.0690,-118.2206,1,1,366802,LAUSD_Albion,LAUSD
LAS059,T000579,34.0526,-118.2169,2,2,366526,LAUSD_Bridge_Street,LAUSD
LAS060,T000580,34.1086,-118.2669,1,1,366619,LAUSD_Ivanhoe,LAUSD
LAS061,T000587,34.0539,-118.1779,2,2,366997,LAUSD_Kennedy_Elem,LAUSD
LAS062,T000588,34.0359,-118.1754,1,1,367060,LAUSD_Marianna,LAUSD
LAS063,T000589,34.0273,-118.1934,1,1,367016,LAUSD_Stevenson_Middle,LAUSD
LAS064,T000590,34.0418,-118.1755,1,1,367042,LAUSD_Esteban_Torres_SH,LAUSD
LAS065,T000591,34.0377,-118.1599,1,1,366643,LAUSD_Hamasaki,LAUSD
LAS066,T000592,34.0286,-118.1867,1,1,366781,LAUSD_Rowan,LAUSD
LAS067,T000593,34.0520,-118.1974,1,1,366980,LAUSD_Evergreen,LAUSD
LAS068,T000594,34.0444,-118.1946,1,1,367054,LAUSD_Malabar,LAUSD
LAS069,T000595,34.0363,-118.2122,1,1,366974,LAUSD_Hollenbeck_Middle,LAUSD
LAS070,T000596,34.0404,-118.1666,1,1,366752,LAUSD_Brooklyn,LAUSD
LAS071,T000597,34.0403,-118.2045,1,1,367025,LAUSD_1st_Street,LAUSD
LAS072,T000598,34.0388,-118.2098,2,2,366739,LAUSD_Roosevelt_SH,LAUSD
LAS073,T000599,34.0422,-118.2131,1,1,366722,LAUSD_Breed,LAUSD
LAS074,T000600,34.0853,-118.1993,1,1,366801,LAUSD_Glen_Alta,LAUSD
LAS076,T000605,34.0252,-118.2029,1,1,366839,LAUSD_Lorena,LAUSD
LAS077,T000606,34.0313,-118.2162,2,2,367048,LAUSD_Soto_Street,LAUSD
LAS078,T000607,34.0324,-118.1612,1,1,367029,LAUSD_Griffith_Middle,LAUSD
LAS079,T000610,34.1025,-118.2927,2,2,366758,LAUSD_Los_Feliz,LAUSD
LAS080,T000617,34.0683,-118.2123,1,1,366778,LAUSD_Griffin,LAUSD
LAS081,T000618,34.0729,-118.2058,1,1,366604,LAUSD_Gates,LAUSD
LAS082,T000619,34.0602,-118.1960,1,1,366700,LAUSD_Murchison,LAUSD
LAS084,T000621,34.0493,-118.2080,1,1,366836,LAUSD_Sheridan,LAUSD
LAS085,T000622,34.0560,-118.2060,1,1,366737,LAUSD_East_LA_Occupational,LAUSD
LAS086,T000623,34.0751,-118.2038,1,1,366829,LAUSD_Lincoln_SH,LAUSD
LAS087,T000624,34.0917,-118.2024,-1,-1,366880,LAUSD_Latona,LAUSD
LAS088,T000625,34.0491,-118.2245,1,1,367010,LAUSD_Utah,LAUSD
LAS089,T000626,34.0486,-118.2268,1,1,366810,LAUSD_Mendez_SH,LAUSD
LAS090,T000628,34.0825,-118.1918,1,1,366933,LAUSD_Huntington,LAUSD
LAS093,T000631,34.0690,-118.1863,1,1,366882,LAUSD_Wilson_SH,LAUSD
LAS094,T000632,34.0958,-118.1588,1,1,366145,LAUSD_Sierra_Vista,LAUSD
LAS095,T000633,34.0795,-118.1794,1,1,366554,LAUSD_El_Sereno_Middle,LAUSD
LAS096,T000680,34.0620,-118.2541,1,1,366753,LAUSD_Roybal,LAUSD
LAS075,T000681,34.0312,-118.2061,2,2,366699,LAUSD_Euclid_Street,LAUSD
LAS098,T000682,34.0357,-118.2476,1,1,366564,LAUSD_9th_Street,LAUSD
LAS099,T000683,34.0591,-118.2434,1,1,366744,LAUSD_Cortines_VPA,LAUSD
LAS165,T000685,34.0788,-118.2580,1,1,366654,LAUSD_Logan_Street,LAUSD
LAS018,T000704,34.1317,-118.2053,1,1,366635,LAUSD_Eagle_Rock_SH,LAUSD
LAS026,T000766,34.1276,-118.2271,1,1,366345,LAUSD_Delevan,LAUSD
LAS047,T000772,34.0267,-118.1581,1,1,366741,LAUSD_Garfield_SH,LAUSD
LAS053,T000797,34.0172,-118.1847,1,1,366815,LAUSD_Eastman,LAUSD
LAS166,T000890,34.1140,-118.3797,1,1,367005,LAUSD_Wonderland,LAUSD
LAS083,T000922,34.0583,-118.2035,5,5,366800,LAUSD_Francisco_Bravo_SH,LAUSD
LAS092,T000937,34.0781,-118.1797,1,1,367014,LAUSD_Farmdale,LAUSD
LAS167,T000939,34.0887,-118.2492,1,1,366161,LAUSD_Elysian_Heights,LAUSD
LAS019,T000940,34.0871,-118.2194,2,2,366424,LAUSD_Nightingale,LAUSD
LAS091,T000949,34.0886,-118.1683,1,1,366992,LAUSD_Cesar_Chavez,LAUSD
LAS168,T000997,34.0561,-118.2573,2,2,367151,LAUSD_Testing,Beaudry_HQ
LAS169,T001000,34.0729,-118.2926,1,1,366250,LAUSD_Del_Olmo,LAUSD
LAS170,T001001,34.0778,-118.2990,1,1,366171,LAUSD_Alexendria,LAUSD
LAS171,T001002,34.0772,-118.3042,1,1,366209,LAUSD_Harvard,LAUSD
LAS172,T001003,34.0707,-118.3051,2,2,252719,LAUSD_Cahuenga,LAUSD
LAS173,T001004,34.0703,-118.3082,1,1,366132,LAUSD_Kim,LAUSD
LAS174,T001005,34.0705,-118.3350,1,1,366231,LAUSD_3rd_St,LAUSD
LAS175,T001006,34.0808,-118.3161,1,1,366156,LAUSD_Van_Ness,LAUSD
LAS176,T001007,34.0403,-118.3254,1,1,366206,LAUSD_Arlington_Heights,LAUSD
LAS177,T001008,34.0173,-118.2754,1,1,366218,LAUSD_Clinton_MS,LAUSD
LAS178,T001009,34.0288,-118.2712,1,1,366280,LAUSD_Ortho_Hosp_Magnet,LAUSD
LAS179,T001010,34.0320,-118.2785,1,1,366208,LAUSD_Lanterman_HS,LAUSD
LAS180,T001013,34.0451,-118.3172,1,1,366139,LAUSD_Pio_Pico,LAUSD
LAS181,T001027,34.0435,-118.2880,2,2,366322,LAUSD_Magnolia,LAUSD
LAS182,T001028,34.0477,-118.3056,1,1,366593,LAUSD_Los_Angeles,LAUSD
LAS183,T001031,34.0532,-118.3060,1,1,366094,LAUSD_Hobart_Blvd,LAUSD
LAS184,T001036,34.0531,-118.2992,1,1,366553,LAUSD_Mariposa-Nabi,LAUSD
LAS185,T001113,34.0584,-118.3146,1,1,368584,LAUSD_Wilton,LAUSD
LAS186,T001114,34.0583,-118.2974,1,1,366169,LAUSD_RFK_HS,LAUSD
LAS187,T001119,34.0630,-118.2901,1,1,366056,LAUSD_Kim_Academy,LAUSD
LAS188,T001121,34.0566,-118.2858,1,1,366302,LAUSD_Hoover,LAUSD
LAS189,T001123,34.0510,-118.2869,1,1,366204,LAUSD_Politi,LAUSD
LAS190,T001129,34.0610,-118.3165,1,1,368558,LAUSD_Wilshire_Park,LAUSD
LAS191,T001130,34.0226,-118.2705,1,1,366275,LAUSD_Adams_MS,LAUSD
LAS192,T001131,34.0218,-118.2965,1,1,366531,LAUSD_Weemes,LAUSD
LAS193,T001132,34.0264,-118.2935,1,1,366025,LAUSD_Mack,LAUSD
LAS194,T001133,34.0308,-118.2928,1,1,366252,LAUSD_Vermont,LAUSD
LAS195,T001134,34.0379,-118.2967,1,1,366107,LAUSD_Salvin_Spec_Ed,LAUSD
LAS196,T001135,34.0349,-118.2787,1,1,366028,LAUSD_Norwood,LAUSD
LAS197,T001136,34.0398,-118.2895,1,1,366126,LAUSD_West_Adams_Prep,LAUSD
LAS198,T001137,34.0246,-118.2825,1,1,366355,LAUSD_32nd_St_Magnet,LAUSD
LAS199,T001138,33.9958,-118.2404,1,1,366316,LAUSD_Holmes,LAUSD
LAS200,T001139,34.0035,-118.2312,1,1,366887,LAUSD_Vernon_City,LAUSD
LAS201,T001140,33.9933,-118.1840,1,1,366385,LAUSD_Maywood,LAUSD
LAS202,T001141,33.9858,-118.1769,1,1,166105,LAUSD_Heliotrope,LAUSD
LAS203,T001142,33.9873,-118.1831,1,1,366285,LAUSD_Maywood_CES,LAUSD
LAS204,T001143,33.9894,-118.1914,1,1,366281,LAUSD_Fishburn,LAUSD
LAS205,T001144,33.9830,-118.1889,1,1,366297,LAUSD_Maywood_Acad,LAUSD
LAS206,T001145,33.9809,-118.1882,1,1,366112,LAUSD_Nueva_Vista,LAUSD
LAS207,T001146,33.9898,-118.1996,1,1,366140,LAUSD_Loma_Vista,LAUSD
LAS208,T001147,33.9859,-118.1972,1,1,366816,LAUSD_Nimitz_MS,LAUSD
LAS209,T001148,33.9847,-118.1954,1,1,366110,LAUSD_Huntington_Park,LAUSD
LAS210,T001149,33.9780,-118.1776,1,1,145488,LAUSD_Woodlawn,LAUSD
LAS211,T001150,33.9792,-118.1978,1,1,366298,LAUSD_Escutia,LAUSD
LAS212,T001151,33.9757,-118.1976,1,1,145491,LAUSD_Corona,LAUSD
LAS213,T001152,33.9724,-118.1901,1,1,366065,LAUSD_Bell_HS,LAUSD
LAS214,T001153,33.9791,-118.2001,1,1,366033,LAUSD_Orchard_Acad,LAUSD
LAS215,T001154,33.9679,-118.1768,1,1,366307,LAUSD_Ochoa_LC,LAUSD
LAS216,T001155,33.9684,-118.1885,1,1,366020,LAUSD_Escalante,LAUSD
LAS217,T001156,33.9658,-118.1930,1,1,366044,LAUSD_Hughes,LAUSD
LAS218,T001157,33.9631,-118.1833,1,1,366091,LAUSD_Elizabeth_LC,LAUSD
LAS219,T001158,33.9602,-118.1738,1,1,366558,LAUSD_Park_Ave,LAUSD
LAS220,T001159,33.9831,-118.2120,1,1,366088,LAUSD_San_Antonio,LAUSD
LAS221,T001160,33.9908,-118.2237,1,1,367107,LAUSD_Pacific_Blvd,LAUSD
LAS222,T001161,33.9866,-118.2189,1,1,368557,LAUSD_Huntington_Park_HS,LAUSD
LAS223,T001162,33.9780,-118.2168,1,1,366235,LAUSD_Miles,LAUSD
LAS224,T001163,33.9676,-118.2238,1,1,366064,LAUSD_Walnut_Park,LAUSD
LAS225,T001164,33.9800,-118.2279,1,1,367157,LAUSD_Middleton,LAUSD
LAS226,T001165,33.9789,-118.2292,1,1,366695,LAUSD_Middleton_PC,LAUSD
LAS227,T001166,33.9824,-118.2339,1,1,367166,LAUSD_Marquez_SH,LAUSD
LAS228,T001167,33.9810,-118.2176,1,1,165980,LAUSD_Gage_MS,LAUSD
LAS229,T001168,33.9716,-118.2310,1,1,366276,LAUSD_Walnut_Park_MS,LAUSD
LAS230,T001169,33.9759,-118.2092,1,1,366143,LAUSD_Roybal-Allard,LAUSD
LAS231,T001170,33.9692,-118.2094,1,1,366148,LAUSD_Hope,LAUSD
LAS232,T001171,33.9639,-118.2121,1,1,366339,LAUSD_State,LAUSD
LAS233,T001172,33.9596,-118.2107,1,1,166278,LAUSD_Independence,LAUSD
LAS234,T001173,33.9561,-118.2093,1,1,366163,LAUSD_South_Gate_HS,LAUSD
LAS235,T001174,33.9532,-118.1981,1,1,366254,LAUSD_South_Gate_Middle,LAUSD
LAS236,T001175,33.9613,-118.2221,1,1,366095,LAUSD_Liberty,LAUSD
LAS237,T001176,33.9553,-118.2220,1,1,366430,LAUSD_Willow_(#9),LAUSD
LAS238,T001177,33.9511,-118.2218,1,1,366964,LAUSD_Stanford,LAUSD
LAS239,T001178,33.9484,-118.2176,1,1,366426,LAUSD_Stanford_PC,LAUSD
LAS240,T001179,33.9456,-118.2141,1,1,366100,LAUSD_Madison,LAUSD
LAS241,T001180,33.9464,-118.2109,1,1,366363,LAUSD_Victoria,LAUSD
LAS242,T001181,33.9453,-118.2010,1,1,366343,LAUSD_San_Miguel,LAUSD
LAS243,T001182,33.9431,-118.1824,1,1,367065,LAUSD_Tweedy,LAUSD
LAS244,T001183,33.9448,-118.1927,1,1,368565,LAUSD_Bryson,LAUSD
LAS245,T001184,33.9559,-118.2016,2,2,366051,LAUSD_San_Gabriel,LAUSD
LAS246,T001185,33.9458,-118.2250,1,1,367125,LAUSD_Southeast_Middle,LAUSD
LAS247,T001186,33.9454,-118.2219,1,1,366024,LAUSD_Southeast_SH,LAUSD
LAS248,T001187,33.9553,-118.2112,1,1,366061,LAUSD_Odyssey_HS,LAUSD
LAS249,T001188,34.1162,-118.2012,1,1,366358,LAUSD_Highland_Park_Cont,LAUSD
LAS250,T001189,34.0625,-118.2673,1,1,366277,LAUSD_Union,LAUSD
LAS251,T001190,34.0547,-118.2723,1,1,366443,LAUSD_Esperanza,LAUSD
LAS252,T001191,34.0604,-118.2798,1,1,366165,LAUSD_White,LAUSD
LAS253,T001192,34.0664,-118.2806,1,1,366244,LAUSD_Lafayette_Park_PC,LAUSD
LAS254,T001193,34.0575,-118.2795,1,1,254703,LAUSD_MacArthur_Park_VPA,LAUSD
LAS255,T001194,33.9864,-118.2407,2,2,366200,LAUSD_Lillian,LAUSD
LAS256,T001195,33.9846,-118.2518,1,1,366167,LAUSD_Moore_STEM_Acad,LAUSD
LAS257,T001196,33.9833,-118.2555,1,1,366106,LAUSD_Diego_Rivera_HS_(#2),LAUSD
LAS258,T001197,33.9790,-118.2509,2,2,366185,LAUSD_Edison_Middle,LAUSD
LAS259,T001198,33.9701,-118.2509,1,1,366045,LAUSD_Parmalee,LAUSD
LAS260,T001199,33.9734,-118.2561,1,1,366243,LAUSD_Wisdom,LAUSD
LAS261,T001200,33.9781,-118.2499,1,1,366194,LAUSD_Miramonte,LAUSD
LAS262,T001201,33.9738,-118.2388,2,2,366303,LAUSD_Florence,LAUSD
LAS263,T001202,34.0166,-118.2833,1,1,366403,LAUSD_Alexander_Sci_Ctr,LAUSD
LAS264,T001203,34.0192,-118.3065,2,2,366076,LAUSD_Foshay_LC,LAUSD
LAS265,T001204,34.0231,-118.3111,2,2,366289,LAUSD_Bright,LAUSD
LAS266,T001205,34.0350,-118.3107,2,2,368572,LAUSD_24th_St,LAUSD
LAS267,T001206,34.0358,-118.3130,1,1,366258,LAUSD_Widney_HS,LAUSD
LAS268,T001207,34.0326,-118.3183,1,1,366191,LAUSD_Midcity_Prescott,LAUSD
LAS269,T001208,34.0394,-118.3193,1,1,367161,LAUSD_Carson-Gore,LAUSD
LAS270,T001209,34.0117,-118.3081,2,2,366144,LAUSD_King_Jr,LAUSD
LAS271,T001210,33.9844,-118.2823,1,1,369056,LAUSD_61st_St,LAUSD
LAS272,T001211,33.9776,-118.2758,3,3,366196,LAUSD_Bethune_Middle,LAUSD
LAS273,T001212,33.9796,-118.2680,1,1,366436,LAUSD_66th_St,LAUSD
LAS274,T001213,33.9713,-118.2761,1,1,367160,LAUSD_75th_St,LAUSD
LAS275,T001214,33.9696,-118.2670,3,3,366213,LAUSD_Fremont_SH,LAUSD
LAS276,T001215,33.9680,-118.2604,1,1,366162,LAUSD_McKinley,LAUSD
LAS277,T001216,33.9605,-118.2516,2,2,366089,LAUSD_Russell,LAUSD
LAS278,T001217,33.9616,-118.2379,1,1,366099,LAUSD_Graham,LAUSD
LAS279,T001218,33.9608,-118.2481,1,1,366187,LAUSD_Drew_Middle,LAUSD
LAS280,T001219,33.9413,-118.1790,1,1,366211,LAUSD_Legacy_HS_(#9),LAUSD
LAS281,T001220,33.9450,-118.2297,1,1,366057,LAUSD_Jordan_SH,LAUSD
LAS282,T001221,33.9435,-118.2374,1,1,366177,LAUSD_Griffith_Joyner,LAUSD
LAS283,T001222,33.9411,-118.2300,1,1,366111,LAUSD_Weigand,LAUSD
LAS284,T001223,33.9527,-118.2366,1,1,366982,LAUSD_92nd_St,LAUSD
LAS285,T001224,33.9492,-118.2483,1,1,366394,LAUSD_96th_St,LAUSD
LAS286,T001225,33.9561,-118.2467,1,1,366183,LAUSD_Baca_Arts,LAUSD
LAS287,T001226,33.9609,-118.2662,1,1,366399,LAUSD_South_Park,LAUSD
LAS288,T001227,33.9773,-118.2843,1,1,366019,LAUSD_Garcetti_68th_St,LAUSD
LAS289,T001228,33.9862,-118.2939,1,1,366441,LAUSD_Budlong,LAUSD
LAS290,T001229,33.9858,-118.2884,1,1,366022,LAUSD_Hawkins_SH,LAUSD
LAS291,T001230,34.0637,-118.3363,2,2,366318,LAUSD_Burroughs_Middle,LAUSD
LAS292,T001231,34.0554,-118.3330,1,1,366515,_LAUSD_Los_Angeles_HS,_LAUSD
LAS293,T001232,34.0520,-118.3309,1,1,366319,LAUSD_Queen_Anne_Place,LAUSD
LAS294,T001233,34.0417,-118.3268,1,1,366313,LAUSD_Cochran_Middle,LAUSD
LAS295,T001240,34.0430,-118.3397,2,2,367020,LAUSD_Alta_Loma,LAUSD
LAS296,T001241,33.9463,-118.2583,1,1,366166,LAUSD_99th_St,LAUSD
LAS297,T001242,33.9426,-118.2471,1,1,367008,LAUSD_Compton,LAUSD
LAS298,T001243,33.9411,-118.2457,1,1,367031,LAUSD_Markham_Middle,LAUSD
LAS299,T001244,33.9370,-118.2617,1,1,366378,LAUSD_109th_St,LAUSD
LAS300,T001245,33.9338,-118.2529,1,1,366973,LAUSD_112th_St,LAUSD
LAS301,T001246,33.9342,-118.2453,1,1,367017,LAUSD_Flournoy,LAUSD
LAS302,T001247,33.9341,-118.2380,1,1,366021,LAUSD_Grape,LAUSD
LAS303,T001248,33.9340,-118.2276,1,1,366336,LAUSD_Ritter,LAUSD
LAS304,T001250,33.9288,-118.2619,1,1,366400,LAUSD_116th_St,LAUSD

